                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2088,                 3.9181,                 3.7939,                 0.2115,                 0.2365,                0.11776,                0.04633,                 2.8062,                 4.5452,                 3.9091,             0.00047377,             0.00047377,             0.00047377
                      2,                 2.3856,                 2.7144,                 2.7189,                0.41355,                0.42996,                0.33308,                0.16503,                 2.0909,                 2.6604,                 2.5104,              0.0009407,              0.0009407,              0.0009407
                      3,                 2.0324,                 2.1215,                 2.3323,                0.57922,                0.52494,                0.50036,                0.25535,                 1.9257,                 2.1615,                 2.3106,              0.0013982,              0.0013982,              0.0013982
                      4,                 1.9171,                 1.8786,                 2.1821,                0.70729,                0.61825,                0.66882,                0.37899,                 1.8437,                 1.7028,                 2.1724,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.7864,                 1.6707,                  2.034,                0.72845,                0.66512,                0.71409,                0.38614,                 1.9147,                 1.6815,                 2.2348,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.7347,                 1.5282,                 1.9595,                 0.7939,                0.72843,                0.79268,                0.47079,                 1.7232,                 1.5352,                 2.0267,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.6852,                 1.4165,                 1.8899,                0.83706,                0.75041,                0.82858,                0.51197,                 1.6423,                 1.3016,                  1.949,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.6587,                 1.3487,                 1.8561,                0.86498,                0.76057,                0.84551,                0.51619,                 1.6737,                 1.2523,                 1.9786,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.6162,                 1.3021,                 1.8275,                0.83764,                0.76067,                0.84497,                0.51315,                 1.6608,                 1.1418,                 1.9661,                0.00133,                0.00133,                0.00133
                     10,                 1.5759,                 1.2207,                 1.7955,                0.87973,                0.78794,                0.87471,                0.53757,                 1.6317,                 1.1202,                 1.9243,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.5691,                 1.1651,                 1.7548,                 0.8751,                0.79592,                 0.8779,                  0.532,                 1.6418,                 1.0723,                 1.9464,              0.0013017,              0.0013017,              0.0013017
                     12,                  1.518,                 1.0992,                 1.7227,                0.87768,                0.79885,                0.87749,                 0.5263,                 1.6375,                 1.1053,                 1.9128,              0.0012875,              0.0012875,              0.0012875
                     13,                  1.531,                 1.0999,                 1.7173,                0.87735,                0.80498,                0.89027,                0.57014,                 1.5285,                 1.0239,                 1.8225,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.5037,                  1.079,                 1.7011,                0.86768,                0.81214,                0.88829,                0.54176,                 1.5934,                  1.034,                 1.8693,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.5088,                 1.0619,                 1.6924,                 0.9081,                 0.8387,                0.91382,                0.58612,                 1.4948,                0.90782,                 1.7812,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.4719,                  1.011,                 1.6765,                 0.8853,                0.84956,                0.91629,                0.57641,                 1.5404,                 0.9389,                 1.8394,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.4669,                  1.001,                 1.6768,                0.89525,                0.82718,                0.90828,                0.56125,                 1.5049,                0.97436,                 1.7942,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.4541,                0.98868,                 1.6558,                0.89396,                0.86562,                0.93036,                0.60068,                 1.4732,                 0.8744,                 1.7766,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.4323,                0.96571,                 1.6404,                0.90574,                0.86521,                0.93468,                0.61469,                 1.4376,                0.87472,                 1.7283,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.4223,                0.93633,                 1.6199,                0.91432,                 0.8853,                0.93866,                0.62112,                 1.4336,                0.80857,                 1.7148,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.4297,                0.95009,                 1.6256,                0.92511,                0.87867,                0.93731,                0.62023,                 1.4396,                0.83111,                 1.7148,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.4217,                0.91473,                 1.6168,                0.91828,                0.89257,                0.94495,                0.62662,                  1.409,                0.76504,                 1.6932,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.4072,                0.90223,                 1.6106,                0.92919,                0.89409,                0.94899,                0.63397,                 1.4165,                0.77395,                 1.7022,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.4146,                  0.923,                 1.6079,                0.91709,                0.89923,                0.94901,                0.63525,                 1.3902,                0.76348,                 1.6696,              0.0011178,              0.0011178,              0.0011178
